"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"CPSH11","0","0","0","0","52","0","49","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CPOF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CPLG11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"CNES11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CLIN11","0","0","0","0","79","0","63","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CJCT11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CIXM11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"CIXF11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"CFII11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"CFHI11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"CEOC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CENU11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-06-10 00:00:00","2025-10-28 00:00:00"
"CCVA11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"CCME11","0","0","0","0","61","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"CBOP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CARE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"CACR11","0","0","0","0","78","0","64","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BVAR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTYU11","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-10-19 00:00:00"
"BTWR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTSI11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"BTSG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTRA11","0","0","0","0","117","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BIME11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTLG11","0","0","0","0","5","0","5","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTHI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTHF11","0","0","0","0","25","0","25","0","2024-12-20 00:00:00","2025-10-28 00:00:00"
"BTCI11","0","0","0","0","48","0","46","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BTAL11","0","0","0","0","69","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BSLT11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"BROF11","0","0","0","0","58","0","0","0","2024-05-22 00:00:00","2025-09-28 00:00:00"
"BRIP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BRIM11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BRCR11","0","0","0","0","45","0","44","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"BRCO11","0","0","0","0","19","0","19","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BPML11","0","0","0","0","62","0","0","0","2024-05-22 00:00:00","2025-09-28 00:00:00"
"BPFF11","0","0","0","0","62","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BNFS11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BMLT11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"BMLC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"BLUR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BLUE11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"BLOG11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"BLMO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"BLMG11","0","0","0","0","107","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BLCA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"BIPE11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"BIPD11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"BICE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BGRB11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"BCRI11","0","0","0","0","75","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BCIA11","0","0","0","0","89","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BBRC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"BBIG11","0","0","0","0","55","0","52","0","2024-05-29 00:00:00","2025-10-05 00:00:00"
"BBFO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
